Z,dT,I,time
0.000311862798160872,0.013805389404296875,0.0,1749983804.7830486
0.000311862798160872,0.021355152130126953,0.0,1749983804.8052595
9.346104390363895e-05,0.015538215637207031,0.0,1749983804.8274677
9.346104390363895e-05,0.015538215637207031,0.0,1749983804.850103
0.0008721304158157122,0.014652252197265625,0.0,1749983804.8718534
0.0008721304158157122,0.015978336334228516,0.0,1749983804.8944345
0.0013418135463815553,0.014412879943847656,0.0,1749983804.9158971
0.001661749250708642,0.027117252349853516,0.0,1749983804.9381666
0.0022763242318008456,0.014532804489135742,0.0,1749983804.959163
0.0022073934948791856,0.013133525848388672,0.0,1749983804.9809976
0.002741990791712244,0.013895988464355469,0.0,1749983805.0038292
0.003208318456810526,0.014421939849853516,0.0,1749983805.0254538
0.0034439800794495894,0.015195131301879883,0.0,1749983805.0475926
0.004222644723655491,0.012095928192138672,0.0,1749983805.0692165
0.004222644723655491,0.01335000991821289,0.0,1749983805.0916052
0.003918721175494923,0.01524972915649414,0.0,1749983805.1124346
0.0043040279530630185,0.013803243637084961,0.0,1749983805.13567
0.004222644723655491,0.015012979507446289,0.0,1749983805.1570792
0.004072640490815448,0.014219284057617188,0.0,1749983805.1804075
0.0026208773754487985,0.014173030853271484,0.0,1749983805.202307
0.0026208773754487985,0.014173030853271484,0.0,1749983805.2244732
0.00344812539186907,0.029920101165771484,0.0,1749983805.246197
0.003598157427093589,0.014468669891357422,0.0,1749983805.2684047
0.002891967052189243,0.019608736038208008,0.0,1749983805.2898252
0.0029008846491770405,0.014079093933105469,0.0,1749983805.312022
0.0022715890663618536,0.0166168212890625,0.0,1749983805.334022
0.002245918999104894,0.014409303665161133,0.0,1749983805.3562355
0.0016354684360371206,0.014225959777832031,0.0,1749983805.3768506
0.0013256982975483594,0.014590740203857422,0.0,1749983805.4008088
0.0004919834137641129,0.015681743621826172,0.0,1749983805.4217792
0.0007652196907213978,0.014363288879394531,0.0,1749983805.4439292
0.00029538321303035006,0.01291346549987793,0.0,1749983805.4657288
-0.0005652229808067923,0.013580322265625,0.0,1749983805.4871516
-0.0007360173023090756,0.01566910743713379,0.0,1749983805.5102615
-0.001399480059468286,0.014196395874023438,0.0,1749983805.5309062
-0.002124178520042019,0.013365507125854492,0.0,1749983805.5542965
-0.00242942060613416,0.014045476913452148,0.0,1749983805.5746608
-0.0031336518387487175,0.014241218566894531,0.0,1749983805.5980294
-0.0034601047497110834,0.014122486114501953,0.0,1749983805.6203089
-0.003452496427735841,0.01350545883178711,0.0,1749983805.641588
-0.0035302807493518204,0.01578545570373535,0.0,1749983805.663566
-0.0035302807493518204,0.01578545570373535,0.0,1749983805.688846
-0.003929722356490981,0.013643026351928711,0.0,1749983805.71253
-0.004162954649491398,0.04095196723937988,0.0,1749983805.735112
-0.004435271990925591,0.016918659210205078,0.0,1749983805.7569163
-0.004302289211580761,0.016199827194213867,0.0,1749983805.7795565
-0.004435271990925591,0.014078378677368164,0.0,1749983805.8004885
-0.004216566525655295,0.014322519302368164,0.0,1749983805.8220952
-0.004050387916873592,0.013762950897216797,0.0,1749983805.8454244
-0.003926650160155745,0.015329837799072266,0.0,1749983805.867096
-0.003974279576571307,0.013666868209838867,0.0,1749983805.88923
-0.003722903171112209,0.013631343841552734,0.0,1749983805.9112492
-0.0037304848815848703,0.015007972717285156,0.0,1749983805.9327695
-0.0034887503244386275,0.014137029647827148,0.0,1749983805.9549632
-0.0034887503244386275,0.013228654861450195,0.0,1749983805.9763727
-0.0033550519329334297,0.013414621353149414,0.0,1749983805.99838
-0.0033550519329334297,0.029378414154052734,0.0,1749983806.02082
-0.0034962209560979365,0.015021562576293945,0.0,1749983806.0432706
-0.0033311894323005044,0.019915103912353516,0.0,1749983806.0658636
-0.0032456474724106357,0.014480829238891602,0.0,1749983806.0876834
-0.0032456474724106357,0.013817787170410156,0.0,1749983806.109283
-0.0032456474724106357,0.01966691017150879,0.0,1749983806.1324973
-0.003104557226254339,0.014008522033691406,0.0,1749983806.1537762
-0.003104557226254339,0.020186424255371094,0.0,1749983806.1761634
-0.0028704967787291577,0.014834880828857422,0.0,1749983806.197527
-0.0028704967787291577,0.014834880828857422,0.0,1749983806.220906
-0.0026435473727959204,0.015274524688720703,0.0,1749983806.242293
-0.002770623347220927,0.014650583267211914,0.0,1749983806.2639594
-0.002770623347220927,0.014537572860717773,0.0,1749983806.286309
-0.0025353873747452228,0.020330429077148438,0.0,1749983806.3078296
-0.0024011308588499022,0.013593196868896484,0.0,1749983806.3288562
-0.0023871809937192814,0.016148090362548828,0.0,1749983806.351023
-0.0023871809937192814,0.029219627380371094,0.0,1749983806.3727663
-0.0020678851875917687,0.014203310012817383,0.0,1749983806.3958743
-0.0020678851875917687,0.014080524444580078,0.0,1749983806.417837
-0.0018395653321023088,0.014493942260742188,0.0,1749983806.440356
-0.0018395653321023088,0.014253854751586914,0.0,1749983806.4630606
-0.0014512535904557741,0.015925884246826172,0.0,1749983806.4849687
-0.0014994717966774866,0.02475428581237793,0.0,1749983806.5070062
-0.0013516836782751524,0.01324772834777832,0.0,1749983806.528673
-0.0011246216318101746,0.014350175857543945,0.0,1749983806.5508785
-0.0010327491982950326,0.019609689712524414,0.0,1749983806.572678
-0.00080548806102578,0.02719902992248535,0.0,1749983806.5947332
-0.00012819864161506267,0.016071319580078125,0.0,1749983806.6162744
-0.00018421198913907977,0.017269611358642578,0.0,1749983806.6388764
0.0002701688577062388,0.013163089752197266,0.0,1749983806.660782
0.0002701688577062388,0.013163089752197266,0.0,1749983806.6823826
-0.000320080673204862,0.01328897476196289,0.0,1749983806.7039597
0.0004919807991399447,0.015592813491821289,0.0,1749983806.7261813
0.00020285353922221312,0.012976646423339844,0.0,1749983806.747774
0.00020285353922221312,0.014586925506591797,0.0,1749983806.7705207
-8.619408496745272e-05,0.012321233749389648,0.0,1749983806.792613
-7.388570432485288e-05,0.020009994506835938,0.0,1749983806.8140702
0.00015317790304954747,0.014867305755615234,0.0,1749983806.8357637
0.0003003563266376092,0.01816248893737793,0.0,1749983806.8579369
0.0005835941612092176,0.012424468994140625,0.0,1749983806.88081
0.0005331254588613298,0.014159440994262695,0.0,1749983806.9024017
0.0008385929355978258,0.022432804107666016,0.0,1749983806.9248552
0.0009240775313883419,0.014791250228881836,0.0,1749983806.9478748
0.0007610117187890827,0.01643085479736328,0.0,1749983806.9686823
0.0009240775313883419,0.014346837997436523,0.0,1749983806.9910517
0.0010871636062680518,0.01636672019958496,0.0,1749983807.0124695
0.0007775991902828107,0.014632701873779297,0.0,1749983807.0351477
0.0003882503892035632,0.014658927917480469,0.0,1749983807.0568008
0.0005675740464310616,0.015297651290893555,0.0,1749983807.079024
0.0007032864147484778,0.013456583023071289,0.0,1749983807.1017315
0.0006291388989739782,0.014088153839111328,0.0,1749983807.1227822
0.0006291388989739782,0.014088153839111328,0.0,1749983807.146483
0.00039211729703306393,0.03080439567565918,0.0,1749983807.1681478
0.00011086999793265793,0.015016317367553711,0.0,1749983807.1900082
-0.00026025915164227566,0.013234376907348633,0.0,1749983807.2125254
-0.00026025915164227566,0.014507293701171875,0.0,1749983807.2344491
-0.00026025915164227566,0.014650344848632812,0.0,1749983807.2569299
-0.000630659413634542,0.023661136627197266,0.0,1749983807.2791164
0.0002445464918930315,0.013365745544433594,0.0,1749983807.3001053
0.00011021468674358471,0.024017810821533203,0.0,1749983807.3215308
-0.0007030817492824099,0.01378178596496582,0.0,1749983807.3442094
-0.0007030817492824099,0.030119895935058594,0.0,1749983807.3674908
-0.0006427527918263561,0.01667046546936035,0.0,1749983807.3898525
-0.0010722984289599988,0.012742280960083008,0.0,1749983807.4124496
-0.0007813371407289424,0.013943672180175781,0.0,1749983807.4339721
-0.0006408710944352421,0.013531684875488281,0.0,1749983807.4559143
-0.0005628936747341818,0.013805150985717773,0.0,1749983807.4774828
-0.0010170678138753334,0.014436483383178711,0.0,1749983807.4995897
-0.0010097570497799285,0.01375722885131836,0.0,1749983807.5211596
-0.0009976197435126507,0.014584779739379883,0.0,1749983807.5433555
-0.0007013189293985853,0.012911558151245117,0.0,1749983807.5648165
-0.0007013189293985853,0.02013564109802246,0.0,1749983807.5865371
-0.0005434729696846916,0.015093088150024414,0.0,1749983807.6090863
-0.0005434729696846916,0.013910055160522461,0.0,1749983807.63182
-0.000688401480285596,0.017853736877441406,0.0,1749983807.6531184
-0.000688401480285596,0.014161109924316406,0.0,1749983807.6763935
-0.0002951123275935271,0.015149354934692383,0.0,1749983807.6979098
-0.0002951123275935271,0.013025999069213867,0.0,1749983807.719813
-0.0009452828010445766,0.015363693237304688,0.0,1749983807.7418308
-0.00036066053922101035,0.013637065887451172,0.0,1749983807.7640076
-0.0009335641295596109,0.01618480682373047,0.0,1749983807.7858398
-0.0002688848570523948,0.025992631912231445,0.0,1749983807.8080285
2.0137742696215225e-05,0.014982223510742188,0.0,1749983807.8300192
0.00011080764308965887,0.014016151428222656,0.0,1749983807.8526866
0.00020680358395751795,0.013566017150878906,0.0,1749983807.875326
0.0003402908858599566,0.013288497924804688,0.0,1749983807.8965569
0.0004957315032047185,0.013192176818847656,0.0,1749983807.918546
0.0005864554875134719,0.02135753631591797,0.0,1749983807.940255
0.00029253493844668896,0.016364336013793945,0.0,1749983807.962348
0.0004583236223715745,0.014022350311279297,0.0,1749983807.9852333
0.000447567029449392,0.013622522354125977,0.0,1749983808.006831
0.0003798395757662505,0.013917207717895508,0.0,1749983808.0286934
0.0003798395757662505,0.02121448516845703,0.0,1749983808.0505483
3.692110158503084e-05,0.015892744064331055,0.0,1749983808.0727603
-3.972346977378777e-06,0.01638340950012207,0.0,1749983808.0940135
5.6016712050001305e-05,0.014605998992919922,0.0,1749983808.1158175
-0.0004882479954224084,0.01463937759399414,0.0,1749983808.1380982
-0.0005917189253628954,0.016570329666137695,0.0,1749983808.1600506
-0.0005395510782309904,0.014860868453979492,0.0,1749983808.1816444
-0.0007552764631729766,0.014507770538330078,0.0,1749983808.2036214
-0.000989700655841733,0.013419389724731445,0.0,1749983808.2269914
-0.0017912385482781335,0.013440847396850586,0.0,1749983808.2484548
-0.0012893474478178086,0.01581549644470215,0.0,1749983808.270848
-0.001960992704590778,0.017296314239501953,0.0,1749983808.2931721
-0.0013676560825288345,0.019252300262451172,0.0,1749983808.3134046
-0.0014448684866139195,0.027937889099121094,0.0,1749983808.337059
-0.0021225929020176754,0.014303445816040039,0.0,1749983808.3589537
-0.0026443529642656803,0.022582292556762695,0.0,1749983808.3809857
-0.0026443529642656803,0.013363838195800781,0.0,1749983808.4033356
-0.0024140241927494317,0.015042304992675781,0.0,1749983808.4250045
-0.0024140241927494317,0.014038324356079102,0.0,1749983808.448447
-0.0030921155364741614,0.02901768684387207,0.0,1749983808.4700098
-0.0030130656505412256,0.017952919006347656,0.0,1749983808.492804
-0.0028236457644156623,0.012937307357788086,0.0,1749983808.5146825
-0.0029667734760708327,0.015341520309448242,0.0,1749983808.5359194
-0.0033237577105473,0.013904809951782227,0.0,1749983808.5582016
-0.0034084824820313827,0.028734207153320312,0.0,1749983808.5803542
-0.0037794453160419367,0.0153045654296875,0.0,1749983808.6021428
-0.004579708148799837,0.013938665390014648,0.0,1749983808.6244833
-0.004104901597565949,0.015789508819580078,0.0,1749983808.6464398
-0.004468308085126412,0.013447046279907227,0.0,1749983808.6684947
-0.004468308085126412,0.024633407592773438,0.0,1749983808.6904466
-0.004530240535513378,0.012799263000488281,0.0,1749983808.7125573
-0.005144166612303765,0.02107834815979004,0.0,1749983808.7348928
-0.005136295208440254,0.012740135192871094,0.0,1749983808.7567527
-0.006036887286796419,0.015378713607788086,0.0,1749983808.7785878
-0.005726662054930191,0.017261266708374023,0.0,1749983808.7996898
-0.005811324445225969,0.020110607147216797,0.0,1749983808.821559
-0.005517156263609525,0.013964176177978516,0.0,1749983808.8438554
-0.006476221146411517,0.016655921936035156,0.0,1749983808.8650339
-0.005826816239442966,0.013528823852539062,0.0,1749983808.887456
-0.006288766633127647,0.015032291412353516,0.0,1749983808.9100072
-0.0060458578303502885,0.012826204299926758,0.0,1749983808.933102
-0.006197148482368351,0.020305395126342773,0.0,1749983808.9550564
-0.006348445920583928,0.013113975524902344,0.0,1749983808.9763563
-0.006340003179599872,0.023099422454833984,0.0,1749983808.9986722
-0.0060458578303502885,0.014870405197143555,0.0,1749983809.0206666
